,class_name,text,aviation,cybersecurity,domestic_unrest_violence,extreme_weather,forced_labor,general_biz_trend,individual_accidents_tragedies,later_report,lawsuit_legal_insurance,leisure_other_news,maritime,pandemics_large_scale_diseases,railway,strike,trade_war_embargos_bans,transportation_trends_projects,war_conflict,warehouse_fire,class_index,label
10,cybersecurity,"Hackers infiltrated the control systems of a major transportation hub in New York City, causing disruptions to roadways and public transportation. The incident raised concerns about the vulnerability of smart city infrastructure to malicious cyber activities.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
11,railway,"A high-speed train bound for Barcelona experienced a catastrophic derailment near Valencia, Spain. The incident, attributed to a sudden track misalignment, resulted in a harrowing collision and numerous injuries. Emergency services are on-site, providing assistance to the affected passengers.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0]
12,later_report,"Suburban Meadows releases a non-urgent report on the resolution of a temporary closure of a popular biking trail for routine maintenance. Cyclists can now enjoy the trail's upgraded conditions, including improved signage and safety measures, enhancing the overall biking experience in the tranquil community.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0]
13,domestic_unrest_violence,"Riyadh, Saudi Arabia, faced rare public dissent as citizens protested against restrictive social policies. The demonstrations, primarily led by women advocating for expanded rights, highlighted shifting dynamics in the traditionally conservative kingdom.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
14,trade_war_embargos_bans,"Santiago, Chile, announces a ban on the export of a key mineral, responding to trade pressures from a neighboring South American nation. The move signals a shift in regional trade dynamics.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0]
15,maritime,"The MV Arctic Aurora, a research vessel studying climate change in the Arctic, collided with an iceberg, prompting an emergency evacuation of scientists and crew. The incident has underscored the risks associated with maritime research in polar environments.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0]
16,pandemics_large_scale_diseases,"Amsterdam, famous for its picturesque canals and cycling culture, grapples with a sudden outbreak that forces authorities to suspend boat services and close bike lanes. The iconic Anne Frank House stands against an empty backdrop, symbolizing the city's battle against the invisible threat.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0]
17,extreme_weather,"A sudden cold snap grips the city of Frostville, plunging temperatures to sub-zero levels. Residents bundle up against the biting cold, while authorities issue warnings about the potential for frostbite and hypothermia.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
18,railway,"The bustling metropolis of Tokyo, Japan, was paralyzed as a subway train derailed, causing a chain reaction that affected multiple carriages. The incident, attributed to a signal failure, led to injuries and widespread disruptions to the city's public transportation system.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0]
19,later_report,"The bustling city of Harmony Falls issues a delayed update on the recent subway signal failure, apologizing for the inconvenience caused to daily commuters. Signal systems have been fully restored, and normal train schedules are expected to resume by the end of the week, ensuring a smoother transit experience for the urban populace.",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,[0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0]
20,domestic_unrest_violence,"Warsaw, Poland, witnessed clashes between protesters and law enforcement over government control of the judiciary. The unrest raised concerns about the rule of law and the independence of democratic institutions in the country.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
21,lawsuit_legal_insurance,"The vibrant music scene of Austin is overshadowed by legal battles as concert organizers face lawsuits following a stage collapse on March 20. Attendees injured during the incident are seeking compensation, alleging inadequate safety measures and structural inspections.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
22,cybersecurity,"A cyber attack on a key logistics center in Atlanta, Georgia, disrupted the distribution of goods across the southeastern United States. The incident underscored the need for heightened cybersecurity in key economic hubs.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
23,cybersecurity,"Tokyo's Narita International Airport faced a significant cyber security threat, affecting air traffic control systems and causing flight cancellations. Japanese authorities are collaborating with cybersecurity experts to address vulnerabilities in the country's aviation infrastructure.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
24,extreme_weather,"A sudden sandstorm engulfs the desert oasis of Sandhaven, reducing visibility and causing disruptions to travel and outdoor activities. Residents take shelter as the swirling sand obscures the landscape.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
25,strike,"Teachers from across the country are taking to the streets, demanding increased funding for education and better classroom resources. The National Teachers Federation has called for a nationwide strike, affecting schools in every state.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0]
26,war_conflict,"The ancient city of Arcadia is now the epicenter of a territorial dispute, with multiple factions vying for control. As historical landmarks are caught in the crossfire, preservationists are sounding the alarm about the irreversible loss of cultural heritage.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0]
27,individual_accidents_tragedies,"A house fire in Brookside claimed the lives of two siblings, Ananya and Rohan Kapoor, while their parents were at work. The incident has prompted local authorities to reevaluate fire safety measures and emergency response protocols in residential areas.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0]
28,strike,"Public transportation workers in Metroville are on strike, demanding better pay and improved safety measures for bus and subway operators. The Transit Workers Union has called for the strike, causing disruptions in the daily commute for thousands of residents.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0]
29,warehouse_fire,"A cyber attack on a storage facility in New Delhi, India, disrupted the city's supply chain and raised concerns about data security. Authorities are investigating the extent of the breach and implementing measures to prevent future attacks.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
30,railway,"The historic Orient Express faced an unprecedented disruption near Istanbul, Turkey, when a section of the track collapsed due to heavy rainfall. Passengers were stranded for hours as rescue teams worked to evacuate them from the stranded carriages.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0]
31,lawsuit_legal_insurance,"A historic theater in Louisville is under legal scrutiny as patrons file lawsuits against the venue for a roof collapse during a performance on April 5. The incident resulted in injuries and property damage, with legal action alleging negligence in building maintenance and safety inspections.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
32,extreme_weather,"The coastal town of Surgeport faces a storm surge as a powerful coastal storm approaches. Residents fortify their homes against the rising waters, and emergency services prepare for potential flooding.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
33,pandemics_large_scale_diseases,"Mumbai, India, faces a transportation nightmare as a contagious virus spreads through its crowded local train system. The historic Gateway of India becomes a solitary figure in a city grappling with the ongoing pandemic.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0]
34,domestic_unrest_violence,"Johannesburg, South Africa, grappled with civic unrest as citizens voiced frustrations over widespread corruption allegations. Protests turned violent, highlighting the urgent need for comprehensive governance reform to address the root causes of societal discontent.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
35,strike,"Auto workers from Detroit's leading car manufacturers have launched a joint strike, demanding higher pay and improved benefits. The United Auto Workers Union declared the strike after negotiations with industry leaders broke down over the weekend.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0]
36,aviation,"Passengers at Los Angeles International Airport faced extensive delays on June 14th as a severe weather system swept through the region, affecting air traffic control operations. The incident reignited discussions about the impact of climate change on aviation.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
37,lawsuit_legal_insurance,"Citizens of Tulsa are pursuing legal action against a waste disposal company after a landfill fire on June 15 sent toxic smoke into residential areas. Lawsuits allege negligence in waste management practices, resulting in health issues and property damage for affected residents.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
38,lawsuit_legal_insurance,"On the bustling streets of Chicago, a major insurance company faces backlash as policyholders discover coverage gaps following a series of unexpected floods in October. The affected parties are contemplating legal action, arguing that the insurance provider failed to adequately communicate flood risks and coverage limitations.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
39,railway,"In a tragic incident near the bustling city of Nueva Esperanza, Mexico, a high-speed train derailed, causing a devastating collision that resulted in at least 60 casualties and over 100 injuries. Emergency services are working tirelessly to rescue survivors and provide medical assistance.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0]
40,domestic_unrest_violence,"BogotÃ¡, Colombia, faced a surge in violence as opposing political factions clashed over proposed reforms. The unrest highlighted the fragility of the country's political landscape and raised concerns about the potential for further escalation.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
41,cybersecurity,"The control systems of a major logistics hub in Miami, Florida, were compromised in a cyber attack, disrupting the distribution of goods across the southeastern United States. The incident underscored the need for heightened cybersecurity in key economic hubs.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
42,railway,"The iconic Glacier Express faced a disruption in the Swiss Alps as a series of rockslides blocked the tracks. Passengers are stranded in remote mountainous terrain, and rescue operations are hindered by challenging terrain and adverse weather conditions.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0]
43,transportation_trends_projects,"The city of Rome is reviving its iconic tram system, infusing a touch of nostalgia into its modern transportation network. Residents are excited about the prospect of rediscovering the city's history through this classic mode of travel.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
44,war_conflict,"A humanitarian crisis is unfolding in the coastal city of Marisville, where thousands of refugees are fleeing escalating violence. The international community is mobilizing aid efforts, but access remains a challenge due to ongoing hostilities.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,16,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0]
45,cybersecurity,"Hackers targeted the control systems of a major railway network in Shanghai, China, causing widespread disruptions to train services. Chinese authorities are intensifying efforts to identify the perpetrators and bolster cybersecurity for critical infrastructure.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,[0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
46,aviation,Passengers at Dallas/Fort Worth International Airport encountered significant delays on May 19th due to a staffing shortage in the air traffic control tower. The incident highlighted the importance of addressing workforce issues in the aviation industry.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
47,strike,"Hotel workers in the tourist hotspot of Resortville are on strike, demanding higher wages and better working conditions in the hospitality industry. The Hotel Workers Federation has organized the protest, affecting the hospitality services and causing inconvenience for tourists.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0]
48,trade_war_embargos_bans,"Johannesburg, South Africa, braces for economic fallout as a major trading partner in Europe considers imposing restrictions on imports of precious minerals. The potential ban sends shockwaves through the mining industry.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0]
49,railway,"In a shocking turn of events, a freight train carrying hazardous materials derailed near the town of Hazardville, Australia. Emergency responders are grappling with the situation as toxic fumes spread, prompting evacuations and posing a severe threat to the environment.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0]
50,maritime,"On October 15, 2023, the Port of Rotterdam experienced a cyberattack that disrupted the operations of multiple terminals. The hackers targeted the port's navigation and communication systems, causing confusion among vessel traffic and leading to delays in cargo handling.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0]
51,general_biz_trend,"Thailand confronts economic disparities, with a widening wealth gap highlighted in an economic analysis. The report emphasizes inclusive economic policies to address income inequality and promote shared prosperity.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
52,transportation_trends_projects,"In the heart of London, an eco-friendly tram system is gaining popularity, aiming to provide efficient transportation while minimizing the environmental impact. Local authorities believe this initiative will set a benchmark for sustainable urban mobility.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
53,strike,"Construction workers in the growing city of Buildington have initiated a large-scale strike, demanding better pay and improved safety measures on construction sites. The Builders' Union is leading the protest, causing delays in numerous construction projects.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0]
54,trade_war_embargos_bans,"Riyadh, Saudi Arabia, and Cairo, Egypt, join forces to address trade challenges in the Middle East. Both nations pledge to work together to navigate the shifting economic landscape and strengthen regional cooperation.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0]
55,general_biz_trend,"A recent business report on China reveals a concerning trend of corporate monopolies dominating key industries. This concentration of power raises alarms about fair competition and stifling innovation, posing long-term risks to the country's economic stability. The report suggests a need for regulatory interventions to promote a more diverse and competitive business landscape.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
56,lawsuit_legal_insurance,"A renowned art gallery in Santa Fe is entangled in legal disputes after a fire broke out on October 14, damaging priceless artworks. Artists and collectors are pursuing compensation for the loss of irreplaceable pieces, citing the gallery's lack of proper fire prevention measures and emergency response.",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,8,[0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0]
57,pandemics_large_scale_diseases,Montreal experiences a major setback as a rapidly spreading virus hits its metro system and disrupts its extensive bus network. The vibrant murals of the Plateau-Mont-Royal neighborhood become a silent witness to the city's struggle against the unfolding pandemic.,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0]
58,domestic_unrest_violence,"Dhaka, Bangladesh, witnessed mass protests against labor rights violations, drawing attention to the plight of workers in the garment industry. The demonstrations underscored the need for international attention on fair labor practices.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,[0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
59,general_biz_trend,"Australia faces economic uncertainties, with a volatile housing market outlined in a recent economic analysis. The report suggests measures to stabilize the property market and prevent a housing crisis.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
60,leisure_other_news,"On the cultural front, Artsville's street performers are making headlines with their mobile art installations aboard repurposed cargo trucks. These traveling exhibitions transform mundane streets into vibrant galleries, proving that art can be accessible to all, regardless of traditional gallery spaces.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0]
61,individual_accidents_tragedies,A construction site in Riverside became the scene of a tragic accident when a scaffolding collapse resulted in the untimely death of worker Raju Singh. The incident has prompted a thorough investigation into safety protocols within the construction industry.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0]
62,transportation_trends_projects,The historic city of Florence is embracing the charm of yesteryear with the revival of a vintage tram system. Tourists and locals alike are eager to experience the city's rich history through this nostalgic mode of transportation.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0]
63,general_biz_trend,A political report on France exposes growing dissatisfaction with the government's handling of immigration policies. Public outcry and protests in cities like Paris underscore the need for a more nuanced and compassionate approach to address the complexities of migration and integration.,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
64,warehouse_fire,"A series of explosions at a storage complex in Seoul, South Korea, raised concerns about the safety of nearby residents. Emergency services are on the scene, battling the flames and conducting evacuations.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
65,individual_accidents_tragedies,A fatal bicycle accident on Ridge Road left cyclist Mia Turner dead after a collision with a delivery truck. The incident has prompted discussions about improving bike lane safety and raising awareness among motorists about sharing the road responsibly.,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0]
66,individual_accidents_tragedies,"An apartment building in Crestwood became the site of a tragic incident when a gas explosion claimed the lives of two residents, Anil Patel and Maria Rodriguez. The blast, attributed to a faulty gas line, resulted in significant damage to neighboring units.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0]
67,strike,"Employees from major construction companies are on strike, demanding better pay and improved safety measures for those in the construction industry. The Construction Workers Union has organized the protest, causing delays in numerous construction projects.",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,[0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0]
68,railway,"A freight train carrying hazardous materials derailed near the city of Perth, Australia, causing a large-scale chemical spill. Emergency responders are working to contain the environmental impact and protect nearby communities from potential health hazards.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,12,[0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0]
69,individual_accidents_tragedies,"In a heart-wrenching incident in Sunnyside, a toddler named Aanya went missing and was later found drowned in a backyard swimming pool. The community rallied together to support the grieving family and raise awareness about the importance of child safety.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0]
70,leisure_other_news,"A cross-cultural collaboration is brewing in Fusion City as local artists team up with international street performers to create a month-long festival celebrating the diversity of leisure and entertainment. From traditional dances to modern art installations, the event promises a fusion of global creativity.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0]
71,trade_war_embargos_bans,"Sydney, Australia, voices opposition to a proposed ban on coal exports by a key trading partner in Southeast Asia. The Australian government seeks alternative markets to mitigate the impact on its economy.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0]
72,leisure_other_news,"Date: October 10, 2023 - The city of Quantum Quay experiments with a floating market concept, where local vendors set up shop on a fleet of anchored boats. This aquatic marketplace not only provides a picturesque shopping experience but also challenges conventional notions of commerce and transport.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0]
73,individual_accidents_tragedies,"The serene town of Meadowbrook was shaken by the news of a fatal hiking accident. Samuel Collins, an experienced outdoorsman, succumbed to injuries sustained during a fall on the treacherous trails of Pine Ridge, leaving the community in mourning.",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,[0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0]
74,warehouse_fire,"Mumbai's transportation network was thrown into disarray as a fire engulfed a major warehouse storing critical goods. The blaze disrupted the city's supply chain, affecting businesses and consumers alike.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17,[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1]
75,pandemics_large_scale_diseases,"Cape Town, South Africa, grinds to a halt as a new virus disrupts its bustling transportation hubs. Table Mountain watches over a city in crisis, with empty buses and deserted train stations painting a stark contrast to the usual vibrancy of this coastal metropolis.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,[0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0]
76,extreme_weather,"A swarm of tornadoes converges on the rural community of Twister Hollow, causing widespread destruction and uprooting trees. Emergency services work to clear debris and assist affected residents in the aftermath of the storm.",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,[0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
77,maritime,"The Gulf of Mexico experienced a large-scale oil platform fire, with the blaze engulfing the offshore facility operated by PetroEx Energy. The incident has led to the evacuation of personnel and raised concerns about environmental damage in the ecologically sensitive region.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0]
78,general_biz_trend,"A social trends report on Thailand unveils a rising mental health crisis, particularly among the youth. The study highlights the need for increased mental health awareness and support services to address the psychological toll of societal pressures and rapid cultural changes.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0]
79,leisure_other_news,"Date: April 28, 2024 - The city of Quantum Quay hosts an experimental ""Sky Lantern Festival,"" where residents release biodegradable lanterns into the night sky. This eco-friendly event not only illuminates the city but also symbolizes the community's commitment to environmental consciousness.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,9,[0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0]
80,maritime,"The MV Neptune's Pride, a cruise ship, experienced a viral outbreak on board, prompting quarantine measures and a large-scale medical response. The incident has raised concerns about the health and safety protocols in the cruise industry.",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,[0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0]
