,URI,TOPIC,TEXT,RELEVANCE_CLASS
62,7507227834,warehouse_fire,"A big accident was averted by controlling the fire in time because there was a warehouse of plastic goods in the basement under the school, a fire officer said",0
63,7507227834,warehouse_fire,The fire was caused by a short circuit while a mechanic was repairing an AC in the school.,0
64,7480370778,marine,Brexit Passport Checks Lead to Lengthy Delays at Port of DoverPort officials at Dover cited lengthy French border processes and sheer volume for the delays,1
65,7480370778,marine,"The Port of Dover declared a state of emergency when a combination of bad weather, higher-than-expected traffic volume and customs delays on the French side led to some passenger buses experiencing a wait of up to 18 hours",1
66,7480370778,marine,Home Secretary Suella Braverman played down the disruption as a weather event,1
67,7480370778,marine,"She was a leading proponent of the Leave campaign in the run-up to the referendum in 2016, and continued to run on delivering Brexit opportunities in the Tories' leadership contest last year.",1
68,7427983396,train,"57 confirmed dead in Greek train crash, as protests and strikes eruptAt least 57 people dead following Tuesday night's train crash in Greece",0
69,7427983396,train,"Passenger train, on route from Athens to Thessaloniki with more than 350 people on board, crashed head-on into a freight train",0
70,7427983396,train,52 people remain in hospital in Larissa as a result of the crash,0
71,7427983396,train,Six people are in critical condition due to head wounds and serious burns,0
72,7427983396,train,Rescue and recovery operation is ongoing amid the completely destroyed and crushed rail carriages,0
73,7427983396,train,Prime Minister Kyriakos Mitsotakis asserts that the disaster was mainly due to a tragic human error,0
74,7427983396,train,The attempt to pin the blame on a single individual has been widely rejected.,0
75,7503022380,warehouse_fire,"Ironwood Breaks Ground on Phase 3 of Austin Industrial ParkIronwood Realty Partners LLC has broken ground on the final phase of 130 Crossing Industrial Park in Pflugerville, Texas",1
76,7503022380,warehouse_fire,Construction is scheduled for completion in late 2023,1
77,7503022380,warehouse_fire,"The Class A industrial park is located at the intersection of State Highway 130 and Pecan Street, in northeast Austin",1
78,7503022380,warehouse_fire,"The two existing phases of the industrial development total 675,000 square feet and feature five buildings, including a 113,000-square-foot warehouse now owned by Wisenbaker Builder Services.",1
79,7481743448,weather_generalnews,"Is Tornado Alley shifting due to climate change? Scientists explain how warming climate affects tornado activityThe mid-South is at a 25 greater risk of tornado threats, an expert says",0
80,7481743448,weather_generalnews,"At least nine EF3 tornadoes were confirmed to have touched down in Arkansas, Illinois, Indiana, Tennessee and Delaware",0
81,7481743448,weather_generalnews,"The evidence points to climate change contributing to the frequency and magnitude of tornado behavior, experts say",0
82,7481743448,weather_generalnews,"More violent and widespread tornado activity is expected in the future as global warming persists, experts tell ABC News.""This is a representation of what we might perhaps expect to happen in a particularly active tornado season as we move forward in a warming climate regime,"" Jana Houser says.",0
83,7496166197,marine,"Response Continues for Kodiak Enterprise Fire in TacomaThe fire on the Kodiak Enterprise started early Saturday morning as the vessel was docked at Trident Seafoods in Tacoma, Washington",1
84,7496166197,marine,The fire appears to have started in the forward portion of the 276-foot ship and later spread through entirety of the vessel,1
85,7496166197,marine,The Coast Guard and NTSB will conduct an investigation into the because of the fire,1
86,7496166197,marine,"Vessels can request to transit the safety zone established on the Hylebos Waterway, and commercial traffic should contact Seattle Traffic on VHF-14.",1
87,7416448402,air,"Luton airport link is UK's costliest rail line at nearly 4 a mileLuton Dart, or direct air-rail transit link, aims to transform public transport to the notoriously difficult to reach Bedfordshire hub",0
88,7416448402,air,"One-way fares for the 1.3-mile route would be 4.90, with no discount for return trips",0
89,7416448402,air,"At 3.70 per mile, the line overtakes the Heathrow Express as the most expensive railway in Britain",0
90,7416448402,air,"The new Luton link replaces the current bus connection, which is 1.50 a mile over the 16.5- mile route.",0
91,7460081106,weather_generalnews,California storm kills two as severe weather continuesLatest storm across California come after months of heavy rain and snowfall that battered the western US state,1
92,7460081106,weather_generalnews,High-wind warnings and advisories were in effect from the Mexico border through Los Angeles and up into the San Francisco Bay area,1
93,7460081106,weather_generalnews,Wind gusts reached 122 kmh (76 mph) - a level classified as hurricane force by the National Weather Service,1
94,7460081106,weather_generalnews,"Mountain snow that forecasters said will be measured in feet fell on the central and southern parts of the state, as intense hail was reported in Sacramento.",1
95,7409753276,strike,"When is the next train strike? All dates for March and April, and the services affectedRail workers at 14 train operators are due to stage four days of walkouts",1
96,7409753276,strike,Union leader Mick Lynch said workers will be taking sustained and targeted industrial action over the next few months,1
97,7409753276,strike,"Comes days after the Rail, Maritime and Transport workers union (RMT) rejected train operators' best and final 9pc pay rise",1
98,7409753276,strike,"Mark Harper, the Transport Secretary, signalled he was not willing to allow train operators to sweeten their deal with better terms on pay",1
99,7409753276,strike,It dashed hopes that the RMT was nearing pay deals from both train operators and Network Rail,1
100,7409753276,strike,Disruption is also expected to come from a planned overtime ban by National Rail workers who are members.,1
101,7436574314,train,"Train, Flight Cancellations Reported As Snow Blankets BritainHeavy snowfall causes major travel disruption across UK as wintry weather looks set to continue until weekend",1
102,7436574314,train,Some British airports reported long delays on Wednesday as an Arctic blast intensifying across the UK is expected to bring more ice and snow to southern regions,1
103,7436574314,train,"UK's national weather service Met Office said the snowfall and rain could continue until the weekend and possibly longer with chances of long delays and cancellations on bus, rail and air travel services on Thursday and Friday",1
104,7436574314,train,"The National Rail also warned the public, saying the snow and ice isexpected to affect train journeys in many parts of Britain until Friday.",1
105,7431822202,train,"After Ohio train derailment, what can we do to prevent future events?On February 3, a railroad accident took place in the town of East Palestine, Ohio",1
106,7431822202,train,"Some of the cars that derailed were carrying vinyl chloride, a volatile carcinogen",1
107,7431822202,train,"Faced with the possibility of an uncontrolled explosion, shrapnel from exploding cars, and seepage of chemicals into the water, the governor authorized a controlled burn",1
108,7431822202,train,"Rivers in the area may be contaminated for years, with fish unable to live in the polluted water",1
109,7431822202,train,There are many people now pointing fingers at rail companies.,1
110,7402259886,air,Frankfurt airport halts most landings amid Lufthansa IT problems  7 pointsLufthansa forced to cancel or delay flights across its airlines,1
111,7402259886,air,Air traffic control agency forced to divert or cancel all flights away from Frankfurt airport,1
112,7402259886,air,Airline's aircraft could no longer depart from Frankfurt Airport,1
113,7402259886,air,This meant no parking positions were available for other aircraft,1
114,7402259886,air,Frankfurt Airport said that technical problems were causing flight disruptions and cancellations,1
115,7402259886,air,Please check the status of your flight before traveling to the airport and allow extra time for your journey,1
116,7402259886,air,We also recommend that you check in as early as possible for your flight.,1
117,7499041014,marine,"FedEx pilots to vote on strike authority, but no action imminentFederal Express pilots say they will seek authority from members to call a strike",0
118,7499041014,marine,But no imminent work action can happen because the federally controlled negotiating process still has a long way to go,0
119,7499041014,marine,The pilots are frustrated by what they perceive as slow progress over two years,0
120,7499041014,marine,"Officials say they have resolved retirement and quality-of-life issues, but are still at odds over pay levels",0
121,7499041014,marine,bargaining process can take more than a year at this stage,0
122,7499041014,marine,The federal mediator has the power to hold the parties in mediation indefinitely.,0
123,7497304022,warehouse_fire,"Big Indiana plastics fire is fully extinguished, mayor saysNEW: Evacuation order for at least 1,500 people still in effect Friday morning",1
124,7497304022,warehouse_fire,NEW: Fire Chief Tim Brown was not available Friday morning to provide an update,1
125,7497304022,warehouse_fire,"Officials had said earlier Thursday that the fire, which began Tuesday, was close to being extinguished",1
126,7497304022,warehouse_fire,"The 14-acre former factory site in Richmond, Indiana, is about 70 miles (115 kilometers) east of Indianapolis, near the Ohio border.""We are now able to turn our attention to collecting air and water samples,"" mayor says.",1
127,7514543702,warehouse_fire,Swat blast: Preliminary report denies possibility of sucide blastA preliminary report of the explosions at a Counter-Terrorism Department (CTD) police station in Swat's Kabal on Tuesday ruled out the possibility that the incident was a result of a suicide attack,1
128,7514543702,warehouse_fire,"According to the report, there had been no attack on the station, nor was fire opened",1
129,7514543702,warehouse_fire,Report states station located in safest place and there are two security check posts in front of station,1
130,7514543702,warehouse_fire,It is yet to be decided whether the explosions were a result,1
131,7514543702,warehouse_fire,of a short circuit or the result of human oversight.,1
132,7505525734,warehouse_fire,"Sudanese army, its rivals announce another cease-fireTerrified Sudanese who have been trapped for days by fighting in Khartoum flee",0
133,7505525734,warehouse_fire,Military and its paramilitary rival make a new attempt at a 24-hour cease-fire,0
134,7505525734,warehouse_fire,"Nearly 300 people have been killed in the past five days, the YOU.N",0
135,7505525734,warehouse_fire,health agency says,0
136,7505525734,warehouse_fire,"Desperate residents of the capital have been running out of food and other supplies as they sheltered in their homes from the gun battles, bombardment and airstrikes on the streets of KhartOUm..",0
137,7494331532,marine,"Prices inch higher on lower wind, ongoing French disturptionsBritish gas for power demand is set to rise 19 million cubic metres (mcm) to 45 mcmday on Thursday",0
138,7494331532,marine,"Peak wind power generation is forecast to drop from 18.1 gigawatts (GW) on Wednesday to 12.8 GW on Thursday, according to Elexon data",0
139,7494331532,marine,Ongoing strike action in France continues to support continental gas prices,0
140,7494331532,marine,"Europe's gas storage sites were 55.8 full, at the top of the historic range for the time of year, data from Gas Infrastructure Europe showed.",0
141,7426201309,train,'It really is about the training': Barrington leaders say they are prepared for train derailmentBarrington residents are asking what would happen if a similar disaster happened here,1
142,7426201309,train,"The Canadian National Railway acquired the Elgin, Joliet  Eastern Railway in 2009",1
143,7426201309,train,"Village President Karen Darch: We have a lot of freight traffic, especially on the Canadian National",1
144,7426201309,train,"Darch urged residents to provide the village with contact information, so officials can get in touch if an evacuation is needed",1
145,7426201309,train,The Ohio derailment also was addressed earlier in February at the annual Barrington Area Chamber of Commerce's State of the Greater Barrington area event.,1
146,7466485754,weather_generalnews,An 'extremely dangerous tornado' strikes Georgia as 20 million Southerners are at risk of treacherous weather Sunday  CNNNEW: Georgia Gov,0
147,7466485754,weather_generalnews,Brian Kemp declares a state of emergency,0
148,7466485754,weather_generalnews,"A large and extremely dangerous tornado strikes south of LaGrange, Georgia",0
149,7466485754,weather_generalnews,"No fatalities are immediately reported, but at least three people are injured",0
150,7466485754,weather_generalnews,"More than 20 million Southerners are at risk of severe storms Sunday, the National Weather Service says",0
151,7466485754,weather_generalnews,"The storms will push east into the Carolinas by Sunday afternoon, posing a threat of damaging winds.",0
152,7466485754,weather_generalnews,"26 people were killed in a rash of violent storms across the South over the weekend, officials say.",0
153,7457885821,marine,Chevron-chartered Tanker Collides with Sanctioned Vessel in VenezuelaChevron-chartered tanker Kerala collided with tanker Bueno on Sunday night,1
154,7457885821,marine,Neither tanker was significantly damaged by the incident and no injuries or spills reported,1
155,7457885821,marine,"Incidents involving vessels, oil spills, fires and power outages are very frequent in Venezuela",1
156,7457885821,marine,State-run PDVSA's aging oil infrastructure does not receive proper maintenance and needed repairs amid YOU.S,1
157,7457885821,marine,sanctions on the country,1
158,7457885821,marine,"The Kerala is scheduled to load about 240,000 barrels of Venezuelan heavy oil at the Bajo Grande terminal at Lake Maracaibo this week.",1
159,7478003992,warehouse_fire,"Fire Outbreak Hits Popular Company, Properties DestroyedA fire outbreak at Flux Logisxis in the Ikeja Area of Lagos State, has left a property destroyed, but no one was harmed",1
160,7478003992,warehouse_fire,"Images and videos posted by the South West Zonal Coordinator of the National Emergency Management Agency, Ibrahim Farinloye, showed parts of buildings burnt",1
161,7478003992,warehouse_fire,He said the fire started from a warehouse and consumed a whole section of the company,1
162,7478003992,warehouse_fire,"NEMA urged all Nigerians to be cautious of the delicate season, stressing that negligence or unsafe practices could lead to immense losses.",1
163,7501731403,weather_naturalevent,1 person has died in the fungal outbreak at a Michigan paper mill that infected nearly 100 workersA contractor who worked at the Escanaba Billerud Paper Mill died of blastomycosis,0
164,7501731403,weather_naturalevent,The health department began investigating an outbreak at the mill last month,0
165,7501731403,weather_naturalevent,A total of 21 cases have been confirmed by the public health department since March,0
166,7501731403,weather_naturalevent,The mill's vice president of operations says they are deeply saddened by the death,0
167,7501731403,weather_naturalevent,The company has suspended operations at the facility for up to three weeks,0
168,7501731403,weather_naturalevent,"more than 70 probable cases have also been reported, the public Health Delta  Menominee County says.",0
169,7456178574,marine,"Kuwait Oil Company Declares State Of Emergency After Onshore Oil Spill  OilPrice.comAn oil leak has occurred in the west of the country, Kuwait Oil Company said",1
170,7456178574,marine,No people have been injured and oil production has not been disrupted,1
171,7456178574,marine,"Kuwait, one of the largest producers in OPEC, pumps around 2.7 million barrels of per (bpd) of crude oil",1
172,7456178574,marine,"It is the fourth-largest OPEC producer after Saudi Arabia, Iraq, and the United Arab Emirates (UAE) Kuwait has a plan to boost its production capacity to 4.75 million bpd by 2040.",1
173,7497700338,warehouse_fire,"A fire killed 18,000 cows in Texas",1
174,7497700338,warehouse_fire,"It is a horrifyingly normal disaster.18,000 cows were killed in a fire at a Texas dairy farm on Monday",1
175,7497700338,warehouse_fire,The cause of the fire is still under investigation by the state fire marshal,1
176,7497700338,warehouse_fire,"Over the last decade, at least 6.5 million farmed animals, mostly chickens, perished in barn fires in the US",1
177,7497700338,warehouse_fire,"99 percent of America's meat, dairy, and eggs are produced on factory farms, where fires are surprisingly common",1
178,7497700338,warehouse_fire,"The fire killed an order of magnitude more cows than are typically killed in fires, enough to fill 26 football fields.",1
179,7412594736,strike,Police probe after laptop about train strike negotiations was stolenThe laptop belonged to rail minister Huw Merriman and was taken from underneath his chair in the central London pub,1
180,7412594736,strike,The theft came a day after one of the biggest strikes in more than a decade which caused mass disruption across the country,1
181,7412594736,strike,RMT and Aslef workers from 14 train companies took industrial action on February 1 and 3 in the ongoing dispute over pay and conditions,1
182,7412594736,strike,Government officials explained the laptop was wiped remotely of any sensitive information- they cannot make any comments on security concerns at the moment.,1
183,7496528054,weather_naturalevent,"Weather Today (April 14): Isolated Rain over Maharashtra, Uttarakhand, Sikkim  Weather.comMaximum temperatures are expected to reach 40C or higher locally in Punjab, Haryana, Rajasthan, Gujarat, Uttar Pradesh, Madhya Pradesh, Maharashtra, Bihar, Jharkhand, Gangetic West Bengal, Chhattisgarh, Odisha, Telangana, and Andhra Pradesh",0
184,7496528054,weather_naturalevent,"A fresh Western Disturbance is expected to affect the West Himalayan region starting Saturday, and intensify further as we head into the next week",0
185,7496528054,weather_naturalevent,Isolated to scattered rains with thunderstorms and lightning may pelt Himachal Pradesh and Uttarakhand.,0
186,7496272342,marine,"PMA Accuses ILWU Local of Illegal Disruptive Actions at SoCal PortsInternational Longshore and Warehouse Union (ILWU) Local 13 continues to disrupt operations at the ports of Los Angeles and Long Beach, writes the Pacific Maritime Association",1
187,7496272342,marine,The PMA which represents employers at the 70 terminals located in the West Coast ports is detailing a series of complaints,1
188,7496272342,marine,"They are accusing the ILWU of refusing to let the PMA participate in the labor dispatch process, resulting in slowing the start of work on each shift",1
189,7496272342,marine,They also say the union has forced crucial cargo handling equipment to be taken out of operation at several key terminals.,1
190,7412762767,air,Drone activity leads to flight disruption at Dublin Airport on Tuesday eveningSmall unmanned aircraft was first spotted on the north side of the airport campus,1
191,7412762767,air,The disruption lasted from exactly 8.22pm to 8.52pm,1
192,7412762767,air,No flights were diverted from the airport during the 30 minute suspension,1
193,7412762767,air,"An unknown number of flights were grounded in the UK, but it remains too early to ascertain any potential knock-on effects to schedules",1
194,7412762767,air,"Later, management tweeted: ...we would remind drone users that it is illegal to fly a drone within 5km of Dublin Airport",1
195,7412762767,air,Severe punishments must follow for anyone found guilty.,1
196,7504927241,warehouse_fire,S C Artego S A : RAPORT HOTARARE AGOA SI AGEA 2023 - ENGLEZA  MarketScreener ARTEGO S.A,0
197,7504927241,warehouse_fire,is a Romanian transport company,0
198,7504927241,warehouse_fire,The company has its headquarters in Tg,0
199,7504927241,warehouse_fire,"Jiu, str",0
200,7504927241,warehouse_fire,Ciocarlau nr,0
201,7504927241,warehouse_fire,"38, Jud",0
202,7504927241,warehouse_fire,Gorj,0
203,7504927241,warehouse_fire,"Out of the total of 8,114,746 issued shares, 6,968,820 shares were present and represented at the meeting",0
204,7504927241,warehouse_fire,The OGMS is statutory and legally constituted,0
205,7504927241,warehouse_fire,The meeting was attended by the shareholders registered in the Register of Shareholders on the reference date 04.04.2023,0
206,7504927241,warehouse_fire,"Approval of the of the balance sheet, the profit and loss account for the year 2022.",0
207,7432421388,air,"'Mumbai airport's main runway is still unsafe,' says Mangala Narasimhan former Aviation Safety OfficerMangala Narasimhan (54) was an air traffic controller (ATC) and Aviation Safety Officer posted at Mumbai airport",0
208,7432421388,air,She noticed several air safety violations,0
209,7432421388,air,"Since the lives of thousands of passengers were at stake, she took up these issues with her higher ups, but in vain",0
210,7432421388,air,"When a PIL was filed by a lawyer at Bombay High Court, she was made a respondent, in which capacity she placed all the facts before the judges",0
211,7432421388,air,She was rewarded by the Airport Authority of India (AAI) by being sacked.,0
212,7502134528,weather_naturalevent,Lawyers for former Fugees member Pras Michel present defense in conspiracy trialDefense lawyers for Pras Michel begin presenting their case in federal court,0
213,7502134528,weather_naturalevent,"Michel's lead lawyer, David Kenner, delivered a 25-minute statement",0
214,7502134528,weather_naturalevent,Kenner: Michel grew up in poverty before founding the Fugees with Lauryn Hill and Wyclef Jean,0
215,7502134528,weather_naturalevent,Michel has been charged with making illegal campaign contributions and failure to register as an agent of China,0
216,7502134528,weather_naturalevent,"He has pleaded not guilty to all charges and the most serious carries a maximum sentence of 20 years in prison.""The evidence will show that making campaign contributions is not illegal,"" Kenner said.",0
217,7494878987,warehouse_fire,"Dallas restaurant chain buys Carrollton office for headquartersM Crowd Restaurant Group has purchased a 25,300-square-foot office and technology building in Carrollton",0
218,7494878987,warehouse_fire,"Extra Space Storage purchased a 741-unit, climate-controlled self-storage facility in Dallas",0
219,7494878987,warehouse_fire,Freddy's Frozen Custard  Steakburgers has purchased 1.1 acres at the southeast corner of YOU.S,0
220,7494878987,warehouse_fire,Highway 380 and Cypress Bend Dr in Princeton,0
221,7494878987,warehouse_fire,"KeyCity Capital has purchased Villa Gardens, a 142-unit multifamily property on Fyke Road in Farmers Branch.",0
222,7490036297,weather_generalnews,What next for Tiger Woods after painful Masters withdrawal?  CNNTiger Woods withdraws from The Masters with a foot injury,0
223,7490036297,weather_generalnews,Woods was nine-over at the halfway point of the third round,0
224,7490036297,weather_generalnews,Woods had previously squeezed through the cut with a three-over overall score,0
225,7490036297,weather_generalnews,"Woods won the 2008 US Open with a fractured leg, that came the next day as organizers announced he had withdrawn before the resumption of the rain-hit third round in Augusta, Georgia",0
226,7490036297,weather_generalnews,"The 15-time major winner said he was suffering from plantar fasciitis, an inflammation of the heel.",0
227,7500683996,weather_generalnews,Climate change threatens treasures of ancient civilizations in IraqIraq is among the countries worst-hit by climate change,0
228,7500683996,weather_generalnews,It endured a dozen major sandstorms last year,0
229,7500683996,weather_generalnews,"When the storms clear, layers of fine sand cover everything, including the Sumerian ruins of Umm al-Aqarib, the Mother of Scorpions, in the southern desert province of Dhi Qar",0
230,7500683996,weather_generalnews,Sandstorms have slowly begun to reverse years of work there to unearth the temples' terracotta facades and many priceless artifacts,0
231,7500683996,weather_generalnews,"In the next 10 years, it is estimated that sand could have covered 80 to 90 percent of the archaeological sites.",0
232,7409332186,train,Eight Auckland train services cancelled after signal issueEight train services were cancelled across Auckland on Monday morning,1
233,7409332186,train,The western line was operating on a reduced service,1
234,7409332186,train,Southern and eastern train lines were also experiencing significant delays,1
235,7409332186,train,An Auckland Transport spokesperson said an issue with KiwiRail's rail signalling equipment overnight led to a delay in the running of the first train services,1
236,7409332186,train,"The signal issue was resolved by 5.30am, but the delayed start and cancellation of a handful of early services had flow-on effects for further services",1
237,7409332186,train,"Train services resumed running to schedule shortly after 8am, according to an Auckland Transport travel alert.",1
238,7424599960,train,Ohio train derailment: Federal regulators urges railroads to examine track detectors - National  Globalnews.caThe Federal Railroad Administration says overheating bearings likely caused at least four other derailments since 2021,1
239,7424599960,train,"The Ohio derailment forced half the town of about 5,000 people to evacuate for days as toxic chemicals burned, leaving residents with lingering health concerns",1
240,7424599960,train,The EPA opened an office in the town Tuesday to help address residents' questions,1
241,7424599960,train,"For trains containing hazardous materials, the potential consequence of a derailment is catastrophic, the FRA says",1
242,7424599960,train,"The railroad says the derailment prompted it to inspect all of the nearly 1,000 trackside heat detectors on its network.",1
243,7447731160,strike,"Tube strike sparks commuter chaos on Walkout WednesdayTube strike by drivers in the Aslef and Rail, Maritime and Transport (RMT) unions has resulted in no service on any Tube line",1
244,7447731160,strike,The Docklands Light Railway and Elizabeth line were also part-suspended because of the strike,1
245,7447731160,strike,"Teachers, civil servants, junior doctors and BBC journalists also walked out today",1
246,7447731160,strike,"Separately this morning, there were also delays between Watford and London Euston due to an trespasser",1
247,7447731160,strike,"TomTom said at 8am the average time it took to drive 10km (6.2 miles) in London was three minutes longer than normal at that time, at 21 minutes and 17 seconds.",1
248,7427505946,train,Greece's worst train tragedy: What we knowAt least 47 people have been confirmed dead by the fire department,1
249,7427505946,train,Several more are known to have been trapped in the restaurant car and have yet to be extricated,1
250,7427505946,train,"Most of the casualties were in the first three carriages, which included first-class seats",1
251,7427505946,train,All ten train employees are believed to have died in the crash,1
252,7427505946,train,"Over 80 people were hurt in the accident near Larissa in the Tempe Valley of Thessaly, central Greece, on the main railway line between the capital and Thessaloniki.",1
